trainee,id,cat,subcat,grade
15,12,자격증,자격증 수준,C
15,12,자격증,자격증 최신성,B
15,13,학력,최종 학위 수준,B
15,13,학력,출신 학교 수준,A
15,13,학점,출신 학교 수준,E
15,13,경력,총 경력 연수,B
15,13,경력,직무 연관성,A
15,13,경력,성과 및 기여도,A
15,13,교육이력,전문교육 수료 여부,C
15,13,교육이력,기업 내 교육 참여,C
15,13,교육이력,자기개발 노력,A
15,13,자격증,직무 관련 자격증 (적합도),A
15,13,자격증,자격증 수준,A
15,13,자격증,자격증 최신성,A
1,1,학력,최종 학위 수준,C
1,1,학력,출신 학교 수준,C
1,1,학점,출신 학교 수준,C
1,1,경력,총 경력 연수,D
1,1,경력,직무 연관성,C
1,1,경력,성과 및 기여도,B
1,1,교육이력,전문교육 수료 여부,C
1,1,교육이력,기업 내 교육 참여,E
1,1,교육이력,자기개발 노력,B
1,1,자격증,직무 관련 자격증 (적합도),C
1,1,자격증,자격증 수준,C
1,1,자격증,자격증 최신성,B
1,2,학력,최종 학위 수준,C
1,2,학력,출신 학교 수준,C
1,2,학점,출신 학교 수준,C
1,2,경력,총 경력 연수,E
1,2,경력,직무 연관성,D
1,2,경력,성과 및 기여도,B
1,2,교육이력,전문교육 수료 여부,C
1,2,교육이력,기업 내 교육 참여,E
1,2,교육이력,자기개발 노력,C
1,2,자격증,직무 관련 자격증 (적합도),B
1,2,자격증,자격증 수준,C
1,2,자격증,자격증 최신성,A
1,3,학력,최종 학위 수준,C
